location,zone,month,GHI_monthly,DNI_monthly
Parasi,Western Terai,12,113.56368421052632,183.18421052631578
Parbat,Western Hills,1,103.59894736842107,146.63105263157897
Parbat,Western Hills,2,114.41526315789473,138.13263157894735
Parbat,Western Hills,3,160.85,168.5742105263158
Parbat,Western Hills,4,175.58157894736843,166.07631578947368
Parbat,Western Hills,5,172.6963157894737,143.7857894736842
Parbat,Western Hills,6,133.95000000000002,92.6478947368421
Parbat,Western Hills,7,102.26578947368421,52.1978947368421
Parbat,Western Hills,8,105.40578947368421,60.56736842105263
Parbat,Western Hills,9,108.66894736842106,80.10105263157895
Parbat,Western Hills,10,125.8078947368421,134.47684210526316
Parbat,Western Hills,11,108.40684210526315,140.84263157894736
Parbat,Western Hills,12,100.4478947368421,147.05105263157895
Parsa,Madhesh Terai,1,124.01947368421052,195.48368421052632
Parsa,Madhesh Terai,2,136.50578947368422,187.43578947368422
Parsa,Madhesh Terai,3,185.4363157894737,224.8236842105263
Parsa,Madhesh Terai,4,200.66947368421052,224.03631578947366
Parsa,Madhesh Terai,5,199.86526315789473,200.91105263157894
Parsa,Madhesh Terai,6,160.54315789473685,138.64526315789476
Parsa,Madhesh Terai,7,123.78315789473685,85.23105263157895
Parsa,Madhesh Terai,8,128.06421052631578,96.71052631578948
Parsa,Madhesh Terai,9,126.43631578947368,115.14894736842105
Parsa,Madhesh Terai,10,142.00368421052633,172.64947368421053
Parsa,Madhesh Terai,11,127.46894736842104,188.03263157894736
Parsa,Madhesh Terai,12,117.69052631578947,192.38842105263157
Pyuthan,Mid-West Hills,1,117.1363157894737,173.04000000000002
Pyuthan,Mid-West Hills,2,126.38,157.0278947368421
Pyuthan,Mid-West Hills,3,175.7357894736842,196.68684210526317
Pyuthan,Mid-West Hills,4,191.2957894736842,196.73263157894738
Pyuthan,Mid-West Hills,5,189.09578947368422,173.33578947368423
Pyuthan,Mid-West Hills,6,151.13263157894735,120.90421052631578
Pyuthan,Mid-West Hills,7,113.1478947368421,68.76157894736842
Pyuthan,Mid-West Hills,8,115.99947368421051,77.96789473684211
Pyuthan,Mid-West Hills,9,121.72157894736843,103.94000000000001
Pyuthan,Mid-West Hills,10,135.40052631578948,157.97842105263157
Pyuthan,Mid-West Hills,11,113.5915789473684,150.00421052631577
Pyuthan,Mid-West Hills,12,108.54263157894736,162.24631578947367
Ramechhap,Eastern Hills,1,117.28052631578947,161.0115789473684
Ramechhap,Eastern Hills,2,128.04052631578946,157.1536842105263
Ramechhap,Eastern Hills,3,176.7142105263158,203.96157894736842
Ramechhap,Eastern Hills,4,189.09052631578948,201.02105263157895
Ramechhap,Eastern Hills,5,179.0963157894737,164.43473684210528
Ramechhap,Eastern Hills,6,138.35052631578947,105.75631578947367
Ramechhap,Eastern Hills,7,103.14315789473685,58.42473684210526
Ramechhap,Eastern Hills,8,109.63842105263159,70.58894736842106
Ramechhap,Eastern Hills,9,114.35789473684211,93.83263157894737
Ramechhap,Eastern Hills,10,132.7078947368421,148.9884210526316
Ramechhap,Eastern Hills,11,116.32526315789472,152.59157894736842
Ramechhap,Eastern Hills,12,108.42578947368422,154.29631578947368
Rasuwa,Central Hills,1,121.31947368421054,181.70052631578946
Rasuwa,Central Hills,2,130.33684210526317,168.5963157894737
Rasuwa,Central Hills,3,177.34473684210528,201.33631578947367
Rasuwa,Central Hills,4,194.71052631578948,200.41894736842104
Rasuwa,Central Hills,5,192.23947368421054,174.15947368421052
Rasuwa,Central Hills,6,153.92473684210526,115.69789473684212
Rasuwa,Central Hills,7,115.52105263157895,59.95473684210527
Rasuwa,Central Hills,8,121.48210526315789,72.30473684210526
Rasuwa,Central Hills,9,125.49894736842106,99.12
Rasuwa,Central Hills,10,139.32526315789474,158.9515789473684
Rasuwa,Central Hills,11,121.34473684210528,173.64315789473685
Rasuwa,Central Hills,12,112.49526315789473,176.0536842105263
Rautahat,Madhesh Terai,1,125.52263157894735,197.38473684210527
Rautahat,Madhesh Terai,2,138.6463157894737,191.0321052631579
Rautahat,Madhesh Terai,3,187.5063157894737,228.28052631578947
Rautahat,Madhesh Terai,4,202.15473684210528,225.17
Rautahat,Madhesh Terai,5,200.16631578947369,200.01526315789474
Rautahat,Madhesh Terai,6,161.65526315789472,138.99526315789473
Rautahat,Madhesh Terai,7,125.9757894736842,87.51105263157895
Rautahat,Madhesh Terai,8,129.0363157894737,97.48684210526316
Rautahat,Madhesh Terai,9,127.13052631578948,115.88578947368421
Rautahat,Madhesh Terai,10,142.88684210526316,172.6321052631579
Rautahat,Madhesh Terai,11,128.98105263157893,189.81473684210528
Rautahat,Madhesh Terai,12,118.63105263157894,192.92894736842106
Rolpa,Mid-West Hills,1,110.32157894736842,147.57368421052632
Rolpa,Mid-West Hills,2,120.09421052631579,143.0563157894737
Rolpa,Mid-West Hills,3,166.30052631578948,176.80157894736843
Rolpa,Mid-West Hills,4,184.71473684210525,177.83736842105262
Rolpa,Mid-West Hills,5,184.5705263157895,163.0894736842105
Rolpa,Mid-West Hills,6,149.3463157894737,116.0657894736842
Rolpa,Mid-West Hills,7,111.87105263157896,64.4042105263158
Rolpa,Mid-West Hills,8,114.74736842105263,72.1821052631579
Rolpa,Mid-West Hills,9,119.09473684210525,95.83578947368422
Rolpa,Mid-West Hills,10,124.83842105263157,133.03052631578947
Rolpa,Mid-West Hills,11,105.90526315789474,134.6042105263158
Rolpa,Mid-West Hills,12,102.19421052631579,146.3815789473684
Rukum_East,Mid-West Hills,1,115.17052631578949,159.53842105263158
Rukum_East,Mid-West Hills,2,124.89473684210526,151.18157894736842
Rukum_East,Mid-West Hills,3,171.1836842105263,183.89684210526315
Rukum_East,Mid-West Hills,4,187.3321052631579,184.5336842105263
Rukum_East,Mid-West Hills,5,189.1094736842105,169.85789473684213
Rukum_East,Mid-West Hills,6,151.12842105263158,116.87684210526315
Rukum_East,Mid-West Hills,7,108.8736842105263,57.47736842105263
Rukum_East,Mid-West Hills,8,111.92105263157895,67.7742105263158
Rukum_East,Mid-West Hills,9,117.31842105263159,90.39999999999999
Rukum_East,Mid-West Hills,10,131.70368421052632,142.20263157894738
Rukum_East,Mid-West Hills,11,110.41947368421052,142.0921052631579
Rukum_East,Mid-West Hills,12,103.46631578947368,145.2984210526316
Rukum_West,Mid-West Hills,1,112.07263157894738,161.87526315789475
Rukum_West,Mid-West Hills,2,121.81631578947369,147.48263157894738
Rukum_West,Mid-West Hills,3,169.4663157894737,183.73210526315788
Rukum_West,Mid-West Hills,4,191.54947368421054,188.98894736842104
Rukum_West,Mid-West Hills,5,192.47578947368422,169.99157894736842
Rukum_West,Mid-West Hills,6,156.77315789473684,119.98105263157895
Rukum_West,Mid-West Hills,7,112.30631578947369,60.04789473684211
Rukum_West,Mid-West Hills,8,114.32684210526315,69.17631578947368
Rukum_West,Mid-West Hills,9,125.01631578947368,103.62947368421052
Rukum_West,Mid-West Hills,10,137.06947368421052,156.4621052631579
Rukum_West,Mid-West Hills,11,111.24473684210527,156.90473684210528
Rukum_West,Mid-West Hills,12,99.99526315789474,151.91736842105263
Rupandehi,Western Terai,1,119.20894736842104,179.5115789473684
Rupandehi,Western Terai,2,131.08,176.6578947368421
Rupandehi,Western Terai,3,183.76736842105262,220.93526315789475
Rupandehi,Western Terai,4,200.40578947368422,225.64947368421053
Rupandehi,Western Terai,5,200.52789473684211,201.30947368421053
Rupandehi,Western Terai,6,159.16473684210527,137.41526315789474
Rupandehi,Western Terai,7,119.6621052631579,80.41842105263159
Rupandehi,Western Terai,8,122.23526315789472,89.38263157894737
Rupandehi,Western Terai,9,124.73315789473683,113.10263157894735
Rupandehi,Western Terai,10,139.8857894736842,169.9621052631579
Rupandehi,Western Terai,11,121.91894736842106,178.09526315789472
Rupandehi,Western Terai,12,112.95789473684209,181.32842105263157
Salyan,Mid-West Hills,1,108.90631578947368,139.09157894736842
Salyan,Mid-West Hills,2,121.07842105263157,138.51631578947368
Salyan,Mid-West Hills,3,171.87473684210525,179.66842105263157
Salyan,Mid-West Hills,4,190.97526315789474,185.05052631578948
Salyan,Mid-West Hills,5,198.81,182.36526315789473
Salyan,Mid-West Hills,6,158.2215789473684,126.19842105263157
Salyan,Mid-West Hills,7,110.83315789473684,61.81052631578948
Salyan,Mid-West Hills,8,114.70473684210526,71.10894736842106
Salyan,Mid-West Hills,9,117.76736842105262,88.57473684210527
Salyan,Mid-West Hills,10,130.4421052631579,135.93684210526317
Salyan,Mid-West Hills,11,106.32368421052632,128.41
Salyan,Mid-West Hills,12,101.68736842105262,138.31684210526316
Sankhuwasabha,Eastern Mountain,1,121.04736842105264,180.02631578947367
Sankhuwasabha,Eastern Mountain,2,125.97947368421053,164.80684210526314
Sankhuwasabha,Eastern Mountain,3,170.7305263157895,200.63526315789474
Sankhuwasabha,Eastern Mountain,4,182.1573684210526,186.0673684210526
Sankhuwasabha,Eastern Mountain,5,172.1936842105263,150.93684210526317
Sankhuwasabha,Eastern Mountain,6,131.09473684210528,93.76105263157895
Sankhuwasabha,Eastern Mountain,7,102.71736842105264,56.37263157894736
Sankhuwasabha,Eastern Mountain,8,112.19105263157896,68.22736842105263
Sankhuwasabha,Eastern Mountain,9,114.8178947368421,93.42315789473685
Sankhuwasabha,Eastern Mountain,10,136.69842105263157,156.26842105263157
Sankhuwasabha,Eastern Mountain,11,121.85631578947368,172.4515789473684
Sankhuwasabha,Eastern Mountain,12,114.52473684210526,177.8757894736842
Saptari,Madhesh Terai,1,122.2257894736842,181.33473684210526
Saptari,Madhesh Terai,2,133.3278947368421,175.86052631578946
Saptari,Madhesh Terai,3,180.45000000000002,214.10631578947368
Saptari,Madhesh Terai,4,189.4463157894737,199.24052631578948
Saptari,Madhesh Terai,5,178.83578947368423,163.04894736842104
Saptari,Madhesh Terai,6,140.38315789473683,106.35842105263157
Saptari,Madhesh Terai,7,117.12473684210526,75.59315789473685
Saptari,Madhesh Terai,8,121.52947368421053,85.35631578947368
Saptari,Madhesh Terai,9,119.09894736842107,102.21473684210525
Saptari,Madhesh Terai,10,134.33,154.26263157894735
Saptari,Madhesh Terai,11,122.52000000000001,170.20894736842106
Saptari,Madhesh Terai,12,113.9663157894737,174.18
Sarlahi,Madhesh Terai,1,122.79,192.2384210526316
Sarlahi,Madhesh Terai,2,134.91210526315788,184.70052631578946
Sarlahi,Madhesh Terai,3,183.81315789473683,223.0057894736842
Sarlahi,Madhesh Terai,4,197.08315789473684,217.6415789473684
Sarlahi,Madhesh Terai,5,193.32894736842104,190.68315789473684
Sarlahi,Madhesh Terai,6,154.08157894736843,129.78526315789475
Sarlahi,Madhesh Terai,7,119.64105263157896,80.48894736842105
Sarlahi,Madhesh Terai,8,124.20789473684209,91.78526315789475
Sarlahi,Madhesh Terai,9,124.59842105263158,112.67210526315789
Sarlahi,Madhesh Terai,10,140.06,168.91736842105263
Sarlahi,Madhesh Terai,11,124.91842105263157,182.64
Sarlahi,Madhesh Terai,12,115.07578947368421,186.53105263157894
Sindhuli,Central Hills,1,110.86736842105263,145.02157894736843
Sindhuli,Central Hills,2,127.34684210526316,154.25736842105263
Sindhuli,Central Hills,3,173.68105263157895,192.3815789473684
Sindhuli,Central Hills,4,190.75894736842105,194.9642105263158
Sindhuli,Central Hills,5,186.1357894736842,170.5
Sindhuli,Central Hills,6,146.68842105263158,113.68578947368422
Sindhuli,Central Hills,7,115.42736842105262,71.45894736842105
Sindhuli,Central Hills,8,120.29894736842104,82.08157894736841
Sindhuli,Central Hills,9,118.71052631578948,95.13263157894737
Sindhuli,Central Hills,10,132.54947368421054,143.6094736842105
Sindhuli,Central Hills,11,115.38263157894737,153.02
Sindhuli,Central Hills,12,105.34684210526315,148.6463157894737
Sindhupalchok,Central Hills,1,110.22684210526316,152.64894736842106
Sindhupalchok,Central Hills,2,114.66526315789473,133.32684210526315
Sindhupalchok,Central Hills,3,160.85894736842107,166.96526315789475
Sindhupalchok,Central Hills,4,174.69315789473686,161.50315789473683
